company_name,category,address,phone
a abendschein immobilien,real estate - agents & managers,"germany, de, rheinland-pfalz, landau, landau in der pfalz, 76829",+49 634-191-80300
a and b denture clinic,dentists & dental clinics,"canada, ca, alberta, edmonton, t5p 3z4","+17 804-872-8760, +17 804-882-424"
a and s hand car wash,car washes | auto services,", ca, , , ",+16 049-002-121
a andrews roofing and aluminum,construction services | general contractors | home builders & renovation contractors | roofing contractors,"canada, ca, ontario, acton, halton hills, l7j 2m1",+19 052-783-7220
a balanced approach,social services & ngos,"canada, ca, ontario, waterloo, n2l 6h7",+15 193-424-6660
a best friend,housekeeping services | window cleaning service | office & industrial cleaning,"canada, ca, ontario, london, n6c 2e2",+15 196-726-4640
a better choice landscaping,landscaping & lawn services,"canada, ca, alberta, calgary, t3k 4t2",+14 038-992-2250
a burst of colour,coatings | dyes & pigments | paints | home builders & renovation contractors,"canada, france, ca, normandy, alberta, calgary, rai, t2w 2p3",+14 037-023-470
a charter schools,preparatory schools,"united states, us, texas, dallas, 75217","+12 142-751-200, +12 143-813-2260"
a childs paradise,daycare centers | other schools | preschools & kindergartens,"canada, ca, ontario, brantford, n3p 1n6, n3t 4j2","+15 197-512-412, +15 197-569-880"
a digital solutions,malls & shopping centers | software development services,"canada, united states, ca, texas, ontario, brampton, galveston, ","+19 292-798-016, +18 175-223-7140"
a driveline,auto parts manufacturers | auto parts store | auto services,"canada, ca, alberta, grande prairie, t8x 0l2",+17 805-396-6880
a duct and furnace cleaning,office & industrial cleaning | window cleaning service | heating & air conditioning,"canada, ca, alberta, calgary, t3j 5j5",+14 039-668-5140
a few good lads,employment agencies & hr consulting,"canada, ca, british columbia, burnaby, v5c 0j3","+16 047-297-2200, +16 046-704-537"
a freight forwarding,shipping couriers,"canada, us, ontario, toronto, ",+18 002-800-277
a gallery of floors,other building material retailers,"canada, ca, alberta, olds, t4h 1p7",+14 035-563-9000
a game to train,,"united kingdom, gb, england, berkhamsted, hp4 2dj",+44 843-886-0863
a gift of faith,churches & religious organizations | gift shops,"canada, ca, alberta, stony plain, t7z 1l5",+17 809-631-2160
a granite and marble,marble | granite & stone products | cabinet makers,"canada, ca, alberta, saskatchewan, calgary, red deer, saskatoon, s7p 0a3","+13 063-829-990, +14 032-649-990"
a gym tale,,"canada, ca, ontario, nepean, k2j 4b1",+16 138-259-1650
a landscaping and snow plowing,landscaping & lawn services,"canada, ca, ontario, hamilton, ",+12 897-758-0100
a lavish affair,entertainers | florists,"canada, germany, ca, ontario, north rhine-westphalia, much, mississauga, l5t 1y4",+14 164-332-7000
a maid for a day,housekeeping services | window cleaning service,"canada, ca, alberta, calgary, t2n 3r7",+14 032-832-5000
a maze n fun,party rentals,"canada, ca, ontario, greater sudbury, greater sudbury (new sudbury), p3a 3v4",+17 058-055-8830
a mobile pet grooming,industrial machinery & supplies,"canada, ca, ontario, concord, richmond hill, ",+16 475-423-2100
a n checker,other engineering services,"united kingdom, gb, england, bristol, fishponds, bs16 5jp",+44 117-956-47970
a new dawn therapeutic massage,spa & wellness centers | massage therapists,"canada, ca, alberta, st. albert, t8n 4b2",+17 806-687-261
a perfect view tree service,landscaping & lawn services | tree services,"canada, ca, ontario, parry sound south shore (kilworthy), gravenhurst, p0e 1g0",+17 053-232-351
a pest solutions,pest services & agricultural chemicals,"canada, ca, manitoba, winnipeg, ",+12 042-922-120
a pilot dawgs,,"canada, ca, ontario, toronto, stevensville, ",+19 053-081-515
a sewing sensation,fabric-based home goods | hobby shops,"canada, ca, alberta, rosemary, calgary, 2b5, t2h 0r9","+14 032-583-377, +14 032-888-2880"
a spa for you,barber shops | spa & wellness centers,"canada, ca, ontario, thunder bay, p7e 3v5",+18 074-756-9770
a space to breathe,alternative therapy | yoga studios,"canada, ca, ontario, greater sudbury (robinson / lockerby), greater sudbury, p3e 1a5",+17 055-861-3110
a special touch flowers and gifts,florists | gift shops,"united states, us, washington, langley, 98260",+13 603-411-8080
a staffing solutions,employment agencies & hr consulting,"canada, ca, ontario, etobicoke, m9w 6n5",+14 166-380-3030
a step ahead preschool and childcare,daycare centers | preschools & kindergartens,"united states, us, idaho, meridian, 83646",+12 084-732-4200
a step up,business consulting | window cleaning service | real estate - agents & managers,"canada, ca, alberta, sherwood park, t8h 1s2","+17 809-080-4590, +17 802-399-185"
a tavola bistro,european restaurants | italian restaurants | mediterranean restaurants | pizza & italian restaurants,"canada, ca, ontario, whitby, l1r 3p8",+19 054-931-9670
a tire and wheel,auto parts store | wheels & tire dealers | breaks,"canada, ca, saskatchewan, saskatoon, s7m 1h6",+13 066-646-4110
a to z cleaning services,housekeeping services,"canada, ca, ontario, oakville, l6h 0c1",+19 052-578-1020
a touch of glass,window cleaning service | handyman services | office & industrial cleaning,"canada, ca, alberta, calgary, ",+14 034-522-9000
a towing,shuttles & local transit | towing wrecking & roadside assistance | buses,"canada, ca, us, ca, alberta, ontario, carleton place, rocky view, ","+14 034-708-6970, +19 375-941-980, +16 138-082-010"
a willys parts place,auto parts store | auto services | wheels & tire dealers | auto parts & repair shops,"canada, ca, alberta, red deer, t4p 2h9",+14 033-467-2780
aa canada,automobile dealers & manufacturers | banks & atms,"canada, ca, us, ontario, north york, m9l 1s7","+16 473-501-3130, +18 553-501-313"
aa floors and more,carpets | garden equipment & supplies | salvage merchandise & thrift store | flooring contractors,"canada, ca, ontario, toronto, stoney creek, l8e 5r9","+14 162-019-6110, +12 896-561-016"
aa landscaping,landscaping & lawn services | property management,"canada, ca, ontario, greely, k4p 1g6",+16 137-240-2190
aa sand and gravel,shuttles & local transit | building material manufacturers | home builders & renovation contractors | buses,"canada, ca, alberta, edmonton, t6x 0k6",+17 802-713-3000
aaa architects,architects & architectural services | business consulting,"canada, ca, ontario, mississauga, l5n 2x4",+16 479-519-573
aaa cnc machining services,industrial machinery & supplies | machinery parts manufacturer | die casting & tool manufacturing,"canada, ca, alberta, calgary, t2c 2b5",+14 032-647-8000
aaa point driving school,driving schools,"canada, ca, alberta, calgary, t3j 5h3",+14 035-907-444
aaa school of advertising,colleges & universities,"south africa, za, gauteng, western cape, johannesburg, cape town, 2021, 8001",+27 214-221-800
aaa steam carpet cleaning,carpet cleaning | window cleaning service | heating & air conditioning,"canada, ca, ontario, kitchener, niagara falls, welland, n2g 3a4, l3b 5v9","+15 197-439-7540, +19 054-681-1070"
aaa towing,towing wrecking & roadside assistance,"canada, ca, alberta, calgary, t2c 5a6",+14 032-879-612
aaa wildlife control,pest services & agricultural chemicals,"canada, ca, british columbia, burnaby, v5a 2g9",+16 046-856-8880
